Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Firefox 61.0,Smoke test suite,2018-07-12 13:55:46,2018-07-12 13:56:12,26.293s,FAILED
,,,,,,
Test Cases/Valid login,Firefox 61.0,,2018-07-12 13:55:47,2018-07-12 13:56:12,24.941s,FAILED
openBrowser,Firefox 61.0,,2018-07-12 13:55:47,2018-07-12 13:55:54,6.197s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-12 13:55:54,2018-07-12 13:56:05,11.829s,PASSED
click,Firefox 61.0,,2018-07-12 13:56:05,2018-07-12 13:56:06,0.619s,PASSED
click,Firefox 61.0,,2018-07-12 13:56:06,2018-07-12 13:56:08,1.628s,PASSED
waitForElementVisible,Firefox 61.0,,2018-07-12 13:56:08,2018-07-12 13:56:09,1.304s,PASSED
setText,Firefox 61.0,,2018-07-12 13:56:09,2018-07-12 13:56:09,0.311s,PASSED
waitForElementVisible,Firefox 61.0,,2018-07-12 13:56:09,2018-07-12 13:56:09,0.117s,PASSED
setText,Firefox 61.0,,2018-07-12 13:56:09,2018-07-12 13:56:10,0.218s,PASSED
click,Firefox 61.0,,2018-07-12 13:56:10,2018-07-12 13:56:10,0.393s,PASSED
verifyElementVisible,Firefox 61.0,,2018-07-12 13:56:10,2018-07-12 13:56:10,0.308s,PASSED
verifyElementText,Firefox 61.0,,2018-07-12 13:56:10,2018-07-12 13:56:12,1.410s,FAILED
