Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Firefox 61.0,Smoke test suite,2018-07-12 11:39:11,2018-07-12 11:39:29,17.978s,FAILED
,,,,,,
Test Cases/Valid login,Firefox 61.0,,2018-07-12 11:39:11,2018-07-12 11:39:28,16.793s,FAILED
openBrowser,Firefox 61.0,,2018-07-12 11:39:12,2018-07-12 11:39:17,5.701s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-12 11:39:17,2018-07-12 11:39:25,7.957s,PASSED
click,Firefox 61.0,,2018-07-12 11:39:25,2018-07-12 11:39:26,0.363s,PASSED
click,Firefox 61.0,,2018-07-12 11:39:26,2018-07-12 11:39:27,1.463s,PASSED
setText,Firefox 61.0,,2018-07-12 11:39:27,2018-07-12 11:39:28,0.779s,FAILED
